plume	nom de plume
pocus	hocus pocus
Poe	
poly-	poly- en perfluoralkylstoffen
Pommers	
Pommerse	
Pontisch	
Pontius	
poste	poste restante
posteriori	a posteriori
praecox	dementia praecox
-principes	basisbegrippen en -principes
prix	grand prix
profile	low profile
prophecy	selffulfilling prophecy
protera	hystera protera
proterons	hysteron proterons
provocatus	abortus provocatus
pseudologia	pseudologia fantastica
Puerto	
qualitate	qualitate qua
Quichot	Don Quichot
quid	quid pro quo
quo	a quo;casu quo;quid pro quo;quo vadis;status quo;status quo ante bellum
-quota	visbestanden en -quota
Rading	Hollandsche Rading
rames	nasi rames
rarae	rarae aves
rasa	tabula rasa
reading	close reading
reality	virtual reality
rechter-	rechter- en linkerkant;rechter- als linkerzijde
rectores	rectores magnifici
reductio	reductio ad absurdum
relations	public relations
remedial	remedial teacher;remedial teaching
remme	ad remme
remote	remote sensing
restante	poste restante
retriever	golden retriever
retrievers	golden retrievers
Rhode	Rhode Island
Ricaanse	
Ricanen	
riches	nouveaux riches
-richtlijn	
-richtlijnen	beveiligingsinstructies en -richtlijnen;ontwerpfilosofieën en -richtlijnen
rider	easy rider
riders	easy riders
rigor	rigor mortis
Rijswijck	van Rijswijck
Road	Abbey Road
roaring	roaring twenties
rocks	on the rocks
romeinse	romeinse kaars;Romeinse
roodlicht-	roodlicht- en snelheidscamera's;roodlicht- en gordelcontroles
running	running gag;running gags;running mate;running mates
rupsen-	rupsen- of slakkenplaag;rupsen- en wespenplaag
Rushdie	
russells	jack russells
Saksen-Coburg	
sang	pur sang
Sankt	
sans	sans rancune
Sao	Sao Tomé en Principe
sapiens	homo sapiens
sativa	cannabis sativa
savant	idiot savant
Savoyse	
schapen-	schapen- en geitenvlees;schapen- en geitensector
schrijve	zegge en schrijve
second	second opinion
secret	top secret
seilde	seilde ab
selecta	capita selecta
sensing	remote sensing
se	per se;SE;s.e.
septemberaanslagen	11 septemberaanslagen
septic	septic tank
Shaba	
shui	feng shui
sick	sick joke;sick jokes
Sideros	
Sidra	
s'il	s'il vous plaît
Simbel	Aboe Simbel
sine	conditio sine qua non
Sint-Vincent	
slam	grand slam
slams	grand slams
slow	slow motion
smith	granny smith
smiths	granny smiths
Soenda	
Soenion	Kaap Soenion
Soeren	Hoog Soeren;Laag-Soeren
soleil	coupe soleil
sotto	sotto voce
Soubirous	Bernadette Soubirous
source	open source
speaking	on speaking terms
spe	in spe
spina	spina bifida
's	's avonds;'s anderendaags
Staatsblad	Belgisch Staatsblad;staatsblad
stade	te stade
stadhuize	ten stadhuize
stadswege	van stadswege
Stallman	
stante	stante pede
statu	in statu nascendi
Stede	Stede Broec
Steinerschool	steinerschool;Rudolf Steinerschool
sterling	pond sterling
stikkens	tot stikkens toe
Stones	Rolling Stones
story's	short story's
Strauss	
stroomaf-	stroomaf- en stroomopwaarts;stroomaf- en windopwaarts
stroomop-	stroomop- en stroomafwaarts
studium	studium generale
sudden	sudden death
sui	sui generis
suprême	moment suprême
tabula	tabula rasa
tai	tai chi
tale	tale Kanaäns
Tasman	Abel Tasman
teacher	remedial teacher
teachers	remedial teachers
teaching	remedial teaching
teeg	teeg aan
temporeetje	ex temporeetje
tempore	ex tempore
Terblijt	Berg en Terblijt
terminis	contradictio in terminis
terrible	enfant terrible
terribles	enfants terribles
terzelfder	terzelfder tijd
the	benefit of the doubt
thinking	wishful thinking
thomas	ongelovige thomas
tijds	de tand des tijds
Tobago	
toilette	eau de toilette
toiletteje	eau de toiletteje
tolerance	zero tolerance
Tolo	
Tomini	
tonele	ten tonele
tongue	tongue in cheek
Torvalds	
total	total loss
Town	George Town;Road Town
toy	dinky toy
toys	dinky toys
-transport	afvalverwerking en -transport;elektriciteitsproductie en -transport
Transsylvanische	
Trasimeense	Trasimeense Meer
Trudoplein	Sint Trudoplein
Tsjang	Tsjang Kai-Sjek
turkey	cold turkey
Turks-	Turks- en Caicoseilanden;Turks- en Arabischtalige
Twain	
tweeliter-	tweeliter- en elektromotor;tweeliter- en drieliterflessen
twenties	roaring twenties
Tyrreense	
universalis	homo universalis
urbi	urbi et orbi
uurjournaal	6 uurjournaal;8 uurjournaal;10 uurjournaal
uursbegeleiding	24 uursbegeleiding
uursbereikbaarheid	24 uursbereikbaarheid
uursbeschikbaarheid	24 uursbeschikbaarheid
uursbewaking	24 uursbewaking
uursconsultatie	24 uursconsultatie
uursdienst	24 uursdienst
uursdiensten	24 uursdiensten
uursdrempel	24 uursdrempel
uurseconomie	24 uurseconomie
uursgemiddelde	24 uursgemiddelde
uurshulp	24 uurshulp
uursopvang	24 uursopvang
uursprocedure	24 uursprocedure
uursprocedures	24 uursprocedures
uursservice	24 uursservice
uursstaking	24 uursstaking
uursstructuren	24 uursstructuren
uursstructuur	24 uursstructuur
uursverplichting	24 uursverplichting
uursverplichtingen	24 uursverplichtingen
uursvoorziening	24 uursvoorziening
